,importance,stddev,p_value,n,p99_high,p99_low
DISABLTYX,0.053539466585977045,0.02798234349400843,0.04012326293516713,3,0.21388139787266633,-0.10680246470071222
SEREPEAT,0.04144861201614969,0.01935149332220946,0.03279544507093445,3,0.1523348147113928,-0.06943759067909341
AGE2015,0.031795611117598065,0.011130774556605648,0.019253122375197954,3,0.09557618365988846,-0.03198496142469232
GRADE,0.01676543619091142,0.0064232313105674205,0.02280336471162309,3,0.05357126389644427,-0.020040391514621426
