,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,CatBoost_BAG_L1,0.6671296296296296,0.6754470116730327,0.010211467742919922,0.010686397552490234,3.404844284057617,0.010211467742919922,0.010686397552490234,3.404844284057617,1,True,7
1,NeuralNetFastAI_BAG_L1,0.6662538850038849,0.6807213712472749,0.38448500633239746,0.19406437873840332,44.00374889373779,0.38448500633239746,0.19406437873840332,44.00374889373779,1,True,10
2,NeuralNetMXNet_BAG_L1,0.6659333721833721,0.660389673243647,0.5277471542358398,0.20052433013916016,51.501144886016846,0.5277471542358398,0.20052433013916016,51.501144886016846,1,True,12
3,WeightedEnsemble_L2,0.6652146464646465,0.6843435501271858,0.9662525653839111,0.43940114974975586,106.97793436050415,0.003760099411010742,0.003298044204711914,3.812635660171509,2,True,14
4,LightGBMXT_BAG_L1,0.6642620111370111,0.679888031055981,0.021327495574951172,0.016371965408325195,1.7274014949798584,0.021327495574951172,0.016371965408325195,1.7274014949798584,1,True,3
5,XGBoost_BAG_L1,0.6488814426314427,0.6533157847917082,0.13147211074829102,0.021943092346191406,1.012096881866455,0.13147211074829102,0.021943092346191406,1.012096881866455,1,True,11
6,LightGBM_BAG_L1,0.644150641025641,0.6443651664191923,0.015509605407714844,0.014286994934082031,1.4678802490234375,0.015509605407714844,0.014286994934082031,1.4678802490234375,1,True,4
7,LightGBMLarge_BAG_L1,0.6154712185962186,0.6064823795477585,0.018721342086791992,0.014456033706665039,2.5281591415405273,0.018721342086791992,0.014456033706665039,2.5281591415405273,1,True,13
8,ExtraTreesEntr_BAG_L1,0.6056858650608651,0.5913061044863211,0.21984028816223145,0.3527648448944092,0.840350866317749,0.21984028816223145,0.3527648448944092,0.840350866317749,1,True,9
9,RandomForestGini_BAG_L1,0.6053054584304584,0.5900544286946479,0.21629118919372559,0.35164761543273926,0.9801955223083496,0.21629118919372559,0.35164761543273926,0.9801955223083496,1,True,5
10,ExtraTreesGini_BAG_L1,0.6052674177674178,0.5911038926176602,0.21672701835632324,0.3553919792175293,0.846461296081543,0.21672701835632324,0.3553919792175293,0.846461296081543,1,True,8
11,RandomForestEntr_BAG_L1,0.6052123802123801,0.5904235829199942,0.2159562110900879,0.3485751152038574,0.8377265930175781,0.2159562110900879,0.3485751152038574,0.8377265930175781,1,True,6
12,KNeighborsUnif_BAG_L1,0.5450571419321419,0.5232390814408301,0.10484433174133301,0.21718907356262207,0.023042678833007812,0.10484433174133301,0.21718907356262207,0.023042678833007812,1,True,1
13,KNeighborsDist_BAG_L1,0.5415606384356385,0.5235145755177075,0.10533761978149414,0.10470867156982422,0.011844396591186523,0.10533761978149414,0.10470867156982422,0.011844396591186523,1,True,2
