,GRADE,SCPUBPRI,DISTASSI,SCHRTSCHL,SSAMSC,SEGRADES,SEADPLCXX,SEREPEAT,SESUSOUT,SESUSPIN,SEEXPEL,CDOBMM,CDOBYY,CPLCBRTH,CMOVEAGE,CHISPAN,CAMIND,CASIAN,CBLACK,CPACI,CWHITE,CHISPRM,CSEX,CENGLPRG,DISABLTYX,DISBLTY2X,RACEETHN,RACEETH2,ZIP18PO2,ZIPBLHI2,ZIPLOCL,S16NUMST,S16PBPV,S16TYPE,AGE2015,target
11654,8,4,2,2,1,1,-1,2,2,2,2,6,2005,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,41,2,1,4,10,False
3285,6,4,1,2,1,2,-1,2,2,2,2,2,2007,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,21,2,1,4,8,False
10862,14,4,2,2,1,1,1,2,2,2,2,4,1999,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,4,32,4,1,4,16,False
1515,14,4,1,2,1,3,1,2,2,2,2,3,1999,1,-1,1,2,2,2,2,2,1,1,-1,1,1,3,3,4,4,23,4,1,4,16,False
12433,9,4,1,2,1,2,-1,2,2,2,2,3,2003,1,-1,2,2,1,2,2,2,2,1,-1,2,1,4,4,2,4,21,4,1,4,12,False
13606,13,4,2,2,1,1,2,2,2,2,2,4,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,3,21,4,1,4,15,False
10610,6,2,-1,-1,1,1,-1,2,2,2,2,9,2007,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,2,41,3,2,2,8,False
10385,2,4,1,2,1,5,-1,2,2,2,2,6,2010,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,3,2,13,2,1,4,5,False
4113,13,4,1,2,1,1,2,2,2,1,2,4,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,23,4,1,4,16,False
4674,13,4,1,2,1,3,2,2,2,2,2,11,1999,1,-1,2,2,2,2,2,1,2,2,-1,2,1,1,1,2,2,21,4,1,4,16,False
5318,15,4,1,2,1,1,1,2,2,2,2,11,1997,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,2,42,4,1,4,18,False
9427,5,4,2,2,1,1,-1,2,2,2,2,6,2007,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,2,1,4,8,False
5953,14,4,2,1,1,2,2,2,2,1,1,11,1999,1,-1,1,2,2,2,2,1,2,1,-1,1,1,3,3,3,3,32,4,1,4,16,False
4152,9,4,1,2,1,5,-1,2,2,2,2,4,2004,1,-1,1,2,2,2,2,2,1,2,-1,1,1,3,3,3,4,11,3,1,4,11,False
13550,8,4,1,2,1,1,-1,2,2,2,2,8,2004,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,3,21,3,1,4,11,False
3604,14,4,2,1,1,1,2,2,2,2,2,5,1999,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,3,41,2,1,4,16,False
3490,15,4,1,2,1,3,2,1,2,2,2,4,1996,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,3,21,4,1,4,19,False
10853,12,4,1,2,1,4,2,2,2,2,2,2,2000,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,3,32,2,1,4,15,False
3103,6,1,-1,-1,1,3,-1,1,2,2,2,8,2006,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,2,12,1,2,1,9,False
2461,15,4,2,2,1,1,1,2,1,1,1,10,1998,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,3,4,21,2,1,4,17,False
6081,14,4,1,2,1,1,1,2,2,2,2,10,1998,1,-1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,21,5,1,4,17,False
56,15,4,1,2,1,3,1,2,2,2,2,2,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,1,2,21,5,1,4,17,False
9137,10,4,2,2,1,1,-1,2,2,2,2,9,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,3,11,3,1,4,13,True
2620,12,4,1,2,1,1,2,2,2,2,2,8,2001,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,2,21,4,1,4,14,False
44,10,4,1,2,1,1,-1,2,2,2,2,2,2003,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,1,31,2,1,4,12,False
11127,7,4,1,2,1,3,-1,1,1,1,2,7,2005,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,4,4,21,3,1,4,10,False
756,7,4,2,1,1,2,-1,2,2,2,2,10,2005,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,3,31,2,1,4,10,False
11655,4,4,1,2,1,5,-1,2,2,2,2,11,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,2,1,13,1,1,4,7,False
8233,10,1,-1,-1,1,1,-1,2,2,2,2,7,2003,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,3,23,1,2,1,12,False
11019,15,4,1,2,1,1,1,1,2,2,2,10,1997,1,-1,1,2,2,2,2,1,2,1,-1,2,2,3,3,1,1,21,4,1,4,18,False
11172,4,4,2,1,1,1,-1,2,2,2,2,9,2009,1,-1,1,2,2,1,2,2,2,1,-1,2,2,3,3,4,4,12,2,1,4,6,False
411,11,4,1,2,1,1,-1,2,2,2,2,2,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,1,42,1,1,4,13,False
6639,15,4,1,2,1,2,2,2,2,2,2,6,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,1,1,21,4,1,4,17,False
1661,10,4,1,2,1,1,-1,2,2,2,2,10,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,3,1,4,13,False
4869,2,1,-1,-1,1,5,-1,2,2,2,2,5,2010,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,3,12,2,2,1,5,False
12922,4,4,1,2,1,2,-1,2,2,2,2,3,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,4,32,2,1,4,6,False
3685,7,4,1,2,1,1,-1,2,2,2,2,12,2005,1,-1,2,2,1,2,2,2,2,2,2,2,2,4,4,1,3,21,4,1,4,10,False
11151,11,4,1,2,1,1,-1,2,2,2,2,3,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,1,13,2,1,4,13,False
8456,2,4,1,2,1,5,-1,2,2,2,2,2,2010,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,1,42,2,1,4,5,False
8838,7,4,1,2,1,2,-1,2,1,2,2,11,2005,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,1,1,42,2,1,4,10,False
10647,15,4,2,2,1,2,2,1,2,2,2,8,1997,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,1,2,41,1,1,4,18,False
5706,15,4,1,2,1,1,2,2,2,2,2,10,1997,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,2,41,2,1,4,18,False
7697,5,4,1,2,1,1,-1,2,2,2,2,3,2008,1,-1,1,2,2,2,2,1,2,1,2,2,2,3,3,1,3,21,3,1,4,7,False
3600,15,4,1,2,1,2,1,2,1,2,2,1,1998,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,2,21,4,1,4,17,False
4646,9,4,1,2,1,1,-1,2,2,2,2,1,2004,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,4,1,4,11,False
10167,4,4,1,2,2,1,-1,2,2,2,2,11,2008,3,1,2,2,2,2,1,2,2,2,2,2,2,4,4,3,4,22,2,1,4,7,False
11692,6,1,-1,-1,1,1,-1,2,1,2,2,9,2006,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,3,2,2,9,False
784,15,4,1,2,1,2,2,2,2,1,2,11,1997,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,1,2,21,5,1,4,18,False
6773,12,4,1,2,1,3,2,2,2,2,2,3,2001,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,4,1,4,14,False
4051,8,4,1,2,1,1,-1,2,1,1,1,5,2005,3,1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,4,11,3,1,4,10,False
11524,2,4,1,2,1,1,-1,2,2,2,2,2,2010,1,-1,1,2,2,2,2,2,1,1,-1,2,2,3,3,3,4,11,4,1,4,5,False
9642,14,4,2,2,1,2,2,2,2,2,2,6,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,1,41,4,1,4,16,False
3615,11,4,1,2,1,2,-1,2,2,2,2,4,2002,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,3,4,21,3,1,4,13,False
1542,11,4,1,2,1,1,-1,2,2,2,2,3,2002,1,-1,2,2,1,2,2,2,2,1,-1,2,2,4,4,1,3,21,4,1,4,13,False
7611,4,4,1,2,1,5,-1,2,2,2,2,8,2008,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,4,21,2,1,4,7,False
9769,10,4,1,2,1,2,-1,2,1,1,2,12,2003,3,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,4,21,3,1,4,12,False
12498,13,4,1,2,1,4,2,1,1,2,2,11,2000,1,-1,1,2,2,2,2,1,2,2,-1,1,1,3,3,3,4,21,5,1,4,15,False
4558,11,4,1,2,1,1,-1,2,2,2,2,9,2001,3,2,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,11,3,1,4,14,False
8526,12,4,1,2,1,3,2,2,2,2,2,12,2000,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,4,13,5,1,4,15,False
241,10,4,1,2,1,1,-1,2,2,2,2,6,2003,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,21,3,1,4,12,False
5862,13,4,1,2,1,1,1,2,2,2,2,8,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,2,41,2,1,4,16,False
2669,7,4,1,2,1,3,-1,2,2,2,2,5,2006,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,3,4,41,1,1,4,9,False
11147,13,4,1,2,1,3,2,2,1,1,2,8,2000,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,2,21,4,1,4,15,False
11499,6,4,1,2,1,5,-1,2,2,2,2,5,2007,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,21,3,1,4,8,False
3949,15,4,1,2,1,2,1,2,2,2,2,6,1998,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,2,41,1,2,1,17,False
8528,6,4,1,2,1,1,-1,2,2,2,2,7,2007,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,1,3,21,2,1,4,8,False
13147,11,4,2,2,1,2,-1,2,2,2,2,12,2001,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,4,4,21,4,1,4,14,False
8714,12,4,1,2,1,2,2,2,2,2,2,4,2002,1,-1,1,2,2,1,2,2,2,2,-1,2,2,3,3,3,4,12,4,1,4,13,False
12253,15,4,1,2,1,1,1,2,2,2,2,5,1998,3,3,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,13,4,1,4,17,False
9513,5,4,1,2,1,3,-1,2,2,2,2,1,2008,1,-1,2,2,1,2,2,2,2,2,2,2,2,4,4,3,3,11,2,1,4,7,False
13571,11,2,-1,-1,1,2,-1,2,2,2,2,3,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,2,2,11,3,2,2,13,False
1316,11,2,-1,-1,1,1,-1,2,2,2,2,8,2002,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,4,4,11,1,2,2,13,False
13693,10,4,1,2,1,1,-1,2,2,2,2,6,2003,1,-1,2,2,2,1,2,2,2,2,2,2,2,2,2,4,4,21,2,1,4,12,False
2288,7,4,1,2,1,2,-1,2,2,2,2,6,2006,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,41,2,1,4,9,False
2747,13,4,1,2,1,2,2,2,2,2,2,8,2000,1,-1,2,2,2,2,2,1,2,2,-1,2,1,1,1,1,2,21,4,1,4,15,False
13877,14,4,1,1,1,2,1,2,2,2,2,4,1999,1,-1,1,2,2,2,2,1,2,2,2,2,2,3,3,2,4,21,4,1,4,16,False
9523,10,4,1,2,1,1,-1,2,2,2,2,8,2003,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,3,42,1,1,4,12,False
12937,7,4,1,2,1,1,-1,2,1,1,1,3,2006,1,-1,1,2,2,2,2,2,1,1,2,2,2,3,3,3,4,11,3,1,4,9,False
1027,15,4,1,2,1,2,1,2,2,2,2,3,1998,1,-1,2,2,2,2,2,1,2,2,-1,2,1,1,1,2,2,21,4,1,4,17,False
10905,14,3,-1,-1,1,2,1,2,1,1,2,3,1999,1,-1,2,2,2,2,2,1,2,2,-1,2,1,1,1,2,3,12,2,2,2,16,True
1922,11,4,2,2,1,2,-1,2,2,2,2,3,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,3,1,4,13,True
9702,6,4,1,2,1,2,-1,2,2,2,2,10,2007,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,21,3,1,4,8,False
13842,14,4,1,2,1,3,2,1,2,2,2,8,1997,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,2,2,41,1,1,4,18,False
7114,10,4,1,2,1,1,-1,2,2,2,2,11,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,3,1,4,13,False
7524,2,1,-1,-1,1,5,-1,2,2,2,2,11,2009,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,4,11,1,2,1,6,False
10456,6,4,1,2,1,1,-1,2,2,2,2,8,2007,1,-1,2,2,1,2,2,2,2,2,-1,2,2,4,4,1,2,12,3,1,4,8,False
9928,4,4,1,2,1,1,-1,2,2,2,2,8,2008,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,2,21,2,1,4,7,False
8939,11,4,2,1,1,3,-1,1,2,2,2,3,2001,1,-1,2,2,2,1,2,2,2,1,-1,2,1,2,2,2,4,11,3,1,4,14,False
4132,10,1,-1,-1,1,5,-1,2,2,2,2,4,2003,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,21,2,2,1,12,False
3039,6,4,1,2,1,1,-1,2,2,2,2,6,2007,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,3,4,22,3,1,4,8,False
11255,4,4,1,2,1,1,-1,2,2,2,2,3,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,2,21,2,1,4,6,False
10437,14,4,2,1,1,1,1,2,2,2,2,1,1999,1,-1,1,2,2,2,2,1,2,1,-1,2,2,3,3,2,4,11,3,1,4,16,False
4789,13,4,1,1,1,1,2,2,2,2,2,6,2000,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,1,31,4,1,4,15,False
6027,6,4,1,2,1,1,-1,2,2,2,2,4,2007,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,21,4,1,4,8,False
2931,8,4,1,2,1,1,-1,2,2,2,2,10,2004,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,13,2,1,4,11,False
13362,8,4,1,2,1,2,-1,2,2,2,2,4,2005,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,1,43,2,1,4,10,False
8697,14,4,1,2,1,3,2,2,2,2,2,1,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,1,2,21,4,1,4,16,False
6043,14,4,1,1,1,1,1,1,2,2,2,8,1998,1,-1,1,2,2,2,2,1,2,1,-1,2,2,3,3,1,2,11,4,1,4,17,False
13477,10,3,-1,-1,1,1,-1,2,2,2,2,6,2002,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,2,12,1,2,3,13,False
13743,2,4,2,2,1,5,-1,2,2,2,2,7,2010,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,1,13,2,1,4,5,False
3424,12,4,2,2,2,3,2,2,2,1,2,7,2001,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,21,3,1,4,14,False
6326,5,4,1,2,1,5,-1,2,2,2,2,3,2008,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,3,1,4,7,False
13770,4,4,1,2,1,1,-1,2,2,2,2,5,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,3,21,2,1,4,6,False
8081,15,4,1,2,1,2,2,2,2,1,2,11,1997,1,-1,2,2,2,1,2,1,2,1,-1,2,2,4,5,1,2,21,4,1,4,18,False
1659,7,4,1,2,1,2,-1,2,2,2,2,9,2006,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,2,3,21,3,1,4,9,False
13451,12,4,2,2,1,2,1,2,2,2,2,7,2001,2,13,2,2,2,1,2,2,2,2,-1,1,1,2,2,3,4,21,4,1,4,14,False
8908,14,4,1,2,1,2,1,2,2,2,2,6,1999,1,-1,1,2,2,2,2,2,1,1,-1,2,2,3,3,3,4,21,5,1,4,16,False
5567,14,4,2,2,1,1,1,2,2,2,2,11,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,2,41,2,1,4,17,False
8988,13,4,1,2,1,1,1,2,2,2,2,4,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,21,2,1,4,15,False
6346,10,4,1,2,1,1,-1,2,2,2,2,2,2003,1,-1,2,1,2,2,2,1,2,1,-1,2,2,4,5,2,3,21,3,1,4,12,False
997,14,4,1,2,1,2,1,2,2,2,2,9,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,21,4,1,4,17,False
14018,14,4,1,2,1,2,2,2,2,2,2,6,1999,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,4,4,11,2,1,4,16,False
11299,11,4,1,2,1,2,-1,1,2,2,2,2,2001,2,3,1,2,2,2,2,2,1,1,2,2,2,3,3,4,4,21,4,1,4,14,False
2748,10,4,1,2,1,1,-1,2,2,2,2,2,2003,1,-1,2,2,1,2,2,2,2,2,-1,1,1,4,4,1,2,21,4,1,4,12,False
5561,11,4,1,2,1,2,-1,2,2,2,2,2,2002,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,1,3,13,4,1,4,13,False
1593,11,4,1,2,1,2,-1,2,2,2,2,6,2002,1,-1,1,2,2,2,2,1,2,1,-1,2,2,3,3,1,2,21,2,1,4,13,False
2150,7,4,1,2,1,2,-1,2,1,2,2,10,2005,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,4,12,4,1,4,10,False
6176,4,1,-1,-1,1,1,-1,2,2,2,2,10,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,3,11,2,2,1,7,False
7606,15,4,1,2,1,3,2,2,2,2,2,8,1998,1,-1,1,2,2,1,2,2,2,2,-1,2,2,3,3,4,3,12,3,1,4,17,False
4565,12,4,2,1,1,1,2,2,2,2,2,10,2000,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,3,11,1,1,4,15,False
8483,13,4,2,2,1,2,1,2,2,2,2,12,1999,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,3,3,11,4,1,4,16,False
9336,10,4,1,2,1,2,-1,2,2,2,2,11,2002,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,1,3,21,4,1,4,13,False
10948,12,4,1,2,1,1,2,1,2,2,2,5,2001,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,3,21,3,1,4,14,False
336,7,4,2,2,1,1,-1,2,2,2,2,1,2006,1,-1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,13,2,1,4,9,False
796,5,4,1,2,1,5,-1,2,2,2,2,9,2007,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,2,13,3,1,4,8,False
11377,14,4,1,2,1,2,1,2,2,2,2,6,1999,1,-1,1,2,2,2,2,2,1,2,2,2,2,3,3,1,2,21,4,1,4,16,False
6033,5,4,1,2,1,1,-1,2,2,2,2,11,2007,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,1,22,3,1,4,8,False
12727,14,4,2,1,1,2,1,2,2,2,2,3,1999,1,-1,1,2,2,2,2,1,2,1,-1,2,2,3,3,3,4,11,2,1,4,16,False
10112,6,4,1,2,1,5,-1,2,2,2,2,7,2007,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,2,3,22,3,1,4,8,False
335,4,1,-1,-1,1,1,-1,2,2,2,2,3,2009,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,1,2,1,6,False
465,7,2,-1,-1,1,1,-1,2,2,2,2,12,2005,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,2,41,1,2,2,10,False
9975,14,4,1,2,1,1,2,2,2,2,2,12,1998,3,8,2,2,2,2,2,1,2,1,2,2,2,1,1,2,3,23,4,1,4,17,False
4221,12,4,1,2,1,1,2,2,2,2,2,1,2001,1,-1,2,2,2,2,1,2,2,1,-1,1,1,4,4,1,2,21,4,1,4,14,False
475,12,4,1,2,1,1,1,2,2,2,2,5,2001,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,4,11,4,1,4,14,False
13375,14,1,-1,-1,1,1,1,2,2,2,2,10,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,3,2,1,17,False
6546,10,4,1,2,1,1,-1,2,2,2,2,7,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,21,3,1,4,13,False
6091,12,4,1,2,1,2,1,2,2,2,2,12,2000,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,3,42,3,1,4,15,False
3756,12,4,1,2,1,2,1,2,2,2,2,5,2001,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,4,1,4,14,False
366,11,3,-1,-1,1,1,-1,2,2,2,2,1,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,11,4,2,3,13,False
1732,7,4,1,2,1,2,-1,2,2,2,2,3,2006,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,3,1,4,9,False
4685,5,4,1,2,1,2,-1,2,2,2,2,12,2007,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,2,11,2,1,4,8,True
9736,14,4,1,2,1,1,2,2,2,2,2,8,1998,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,1,22,4,1,4,17,False
12217,11,3,-1,-1,1,2,-1,2,2,2,2,4,2002,1,-1,2,2,1,2,2,2,2,1,-1,2,2,4,4,1,2,11,2,2,1,13,False
5775,13,4,1,2,1,2,2,2,2,2,2,4,1999,3,14,1,2,2,2,2,2,1,1,1,2,2,3,3,4,4,21,5,1,4,16,False
2612,7,4,1,2,1,2,-1,2,2,2,2,7,2006,1,-1,1,2,2,2,2,1,2,1,1,2,2,3,3,3,4,21,3,1,4,9,False
13482,14,1,-1,-1,1,2,2,2,2,2,2,4,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,4,2,1,15,False
13478,14,4,1,2,2,2,2,2,2,2,2,5,1998,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,21,4,1,4,17,False
431,14,4,1,2,1,3,2,1,1,2,2,6,1999,1,-1,2,2,2,1,2,2,2,1,-1,1,1,2,2,1,3,21,4,1,4,16,True
1203,15,4,1,2,1,2,1,2,2,2,2,8,1998,1,-1,2,2,1,2,2,2,2,1,-1,2,2,4,4,1,2,21,4,1,4,17,False
4474,10,4,2,2,1,1,-1,2,2,2,2,10,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,12,3,1,4,13,False
12040,10,4,2,2,1,5,-1,2,1,2,2,11,2002,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,4,4,11,3,1,4,13,False
6630,6,4,1,2,1,3,-1,2,2,2,2,1,2007,1,-1,1,2,2,2,2,2,1,1,1,2,2,3,3,3,3,13,2,1,4,8,False
853,15,4,2,2,1,3,1,2,2,2,2,11,1998,1,-1,2,2,2,1,2,2,2,1,-1,1,1,2,2,2,4,11,2,1,4,17,False
821,2,4,1,2,1,5,-1,2,2,2,2,12,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,21,2,1,4,6,False
5373,9,4,1,2,2,3,-1,2,2,2,2,9,2003,3,5,2,2,1,2,2,2,2,1,-1,2,2,4,4,4,4,11,4,1,4,12,False
8802,9,4,1,2,1,1,-1,2,2,2,2,3,2005,1,-1,2,2,1,2,2,2,2,1,2,2,2,4,4,2,3,21,2,1,4,10,False
13867,11,4,2,2,1,1,-1,2,2,2,2,8,2002,1,-1,2,2,1,2,2,1,2,1,-1,2,2,4,5,1,3,21,4,1,4,13,False
428,14,4,1,2,1,2,2,2,2,2,2,3,2000,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,5,1,4,15,False
5017,15,4,1,2,1,2,1,2,2,2,2,2,1998,1,-1,2,2,1,2,2,2,2,2,-1,2,2,4,4,1,1,21,4,1,4,17,False
12424,11,4,1,2,1,1,-1,2,2,2,2,3,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,3,1,42,1,1,4,13,False
314,12,4,1,2,1,4,2,1,1,2,2,2,2000,3,13,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,1,32,2,1,4,15,False
115,8,4,1,2,1,2,-1,2,2,2,2,9,2005,1,-1,1,2,2,2,2,1,2,1,2,2,2,3,3,3,4,21,2,1,4,10,False
8475,11,4,1,2,1,2,-1,2,2,2,2,11,2001,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,21,2,1,4,14,False
7515,7,4,1,2,1,2,-1,2,2,2,2,1,2006,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,13,2,1,4,9,False
2673,13,4,1,1,1,3,2,2,2,2,2,12,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,1,3,11,5,1,4,16,False
12086,12,4,1,2,1,3,2,2,2,2,2,7,2000,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,1,22,2,1,4,15,False
11816,14,4,1,2,1,1,2,1,2,2,2,3,1999,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,3,4,41,4,1,4,16,False
7626,8,4,1,2,1,2,-1,2,2,2,2,12,2004,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,4,1,43,1,1,4,11,False
3483,15,4,1,2,1,2,2,1,2,2,2,6,1997,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,2,22,1,1,4,18,False
10785,12,4,2,2,1,1,2,2,2,2,2,8,2001,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,22,4,1,4,14,False
6753,4,4,1,2,1,5,-1,2,2,2,2,7,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,3,23,3,1,4,6,False
5587,11,4,1,2,1,1,-1,2,2,2,2,1,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,3,1,4,13,False
7343,10,4,1,2,1,1,-1,2,2,2,2,12,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,31,2,1,4,13,True
7876,10,4,1,2,1,1,-1,2,2,2,2,1,2003,1,-1,2,2,1,2,2,2,2,1,-1,2,2,4,4,1,1,21,4,1,4,12,False
