,GRADE,SCPUBPRI,DISTASSI,SCHRTSCHL,SSAMSC,SEGRADES,SEADPLCXX,SEREPEAT,SESUSOUT,SESUSPIN,SEEXPEL,CDOBMM,CDOBYY,CPLCBRTH,CMOVEAGE,CHISPAN,CAMIND,CASIAN,CBLACK,CPACI,CWHITE,CHISPRM,CSEX,CENGLPRG,DISABLTYX,DISBLTY2X,RACEETHN,RACEETH2,ZIP18PO2,ZIPBLHI2,ZIPLOCL,S16NUMST,S16PBPV,S16TYPE,AGE2015,target
8306,12,4,1,2,1,2,2,2,2,2,2,11,2001,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,4,1,4,14,False
7372,10,1,-1,-1,1,1,-1,2,2,2,2,6,2003,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,21,3,2,1,12,False
11541,11,4,1,2,1,2,-1,1,2,2,2,12,2001,1,-1,1,2,2,2,2,1,2,2,-1,2,2,3,3,3,4,11,4,1,4,14,False
3813,8,4,2,2,1,2,-1,2,2,2,2,5,2005,1,-1,2,1,2,2,2,2,2,1,-1,2,2,4,5,2,1,43,1,1,4,10,False
4164,8,4,1,2,1,1,-1,2,2,2,2,10,2004,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,3,1,4,11,False
9977,13,4,1,2,1,1,1,2,2,2,2,6,2000,1,-1,2,2,2,2,1,1,2,2,-1,2,2,4,5,1,3,21,4,1,4,15,False
1161,9,4,1,2,1,1,-1,2,2,2,2,5,2004,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,3,22,3,1,4,11,False
1250,12,4,1,2,1,2,2,2,2,2,2,5,2001,1,-1,1,2,2,1,2,2,2,2,-1,2,2,3,3,4,4,11,4,1,4,14,False
1871,2,4,1,2,1,1,-1,2,2,2,2,8,2010,1,-1,1,2,2,1,2,2,2,2,-1,2,2,3,3,4,4,11,2,1,4,5,False
1152,5,4,1,2,1,2,-1,2,2,2,2,5,2008,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,21,2,1,4,7,False
4923,12,4,1,2,1,1,2,2,2,2,2,7,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,21,4,1,4,15,False
811,10,4,1,2,1,1,-1,2,2,2,2,8,2003,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,2,21,3,1,4,12,False
4260,10,4,2,1,1,1,-1,2,2,2,2,2,2003,1,-1,1,2,2,2,2,1,2,1,-1,2,2,3,3,4,4,11,4,1,4,12,False
4057,8,4,1,2,1,3,-1,2,2,2,2,9,2005,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,4,21,3,1,4,10,False
1642,10,4,1,2,1,1,-1,2,2,2,2,10,2003,1,-1,1,2,2,2,2,1,2,2,-1,2,2,3,3,2,3,32,3,1,4,12,False
1338,13,4,1,2,1,2,2,2,2,2,2,9,1999,1,-1,1,2,2,2,2,1,2,2,2,2,2,3,3,2,4,21,5,1,4,16,False
993,9,4,1,2,1,2,-1,2,2,2,2,10,2004,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,1,3,21,3,1,4,11,False
12265,14,4,1,2,1,1,1,2,2,2,2,12,1998,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,11,5,1,4,17,False
60,13,4,1,2,1,2,2,2,2,2,2,11,1999,1,-1,2,2,2,1,2,2,2,2,-1,1,1,2,2,3,4,21,4,1,4,16,False
6957,4,4,1,2,1,5,-1,2,2,2,2,6,2009,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,21,2,1,4,6,False
12105,4,4,1,2,1,1,-1,2,2,2,2,10,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,4,3,21,3,1,4,7,True
9378,13,4,1,2,1,3,2,2,1,2,2,6,2000,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,2,4,21,4,1,4,15,False
840,14,4,1,2,1,2,2,2,2,2,2,3,1999,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,3,21,4,1,4,16,False
1616,8,4,1,2,1,1,-1,2,2,2,2,5,2005,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,41,2,1,4,10,False
92,12,4,1,1,1,2,2,1,2,2,2,8,2000,1,-1,2,2,2,1,2,2,2,2,-1,1,1,2,2,2,4,23,3,1,4,15,False
3156,9,4,2,2,1,3,-1,1,2,2,2,10,2002,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,3,3,42,2,1,4,13,False
9012,14,4,2,2,1,4,2,2,2,2,2,8,1999,1,-1,1,1,2,2,2,2,2,1,-1,1,1,3,3,3,4,22,2,1,4,16,False
13908,15,4,1,2,1,3,2,2,2,2,2,10,1997,1,-1,2,2,2,1,2,1,2,1,-1,2,2,4,5,1,2,21,4,1,4,18,False
12311,13,4,1,2,1,1,2,2,2,2,2,4,2000,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,21,4,1,4,15,False
1032,15,4,1,2,1,1,1,2,2,2,2,7,1998,1,-1,2,2,1,2,2,2,2,2,2,2,2,4,4,1,2,13,4,1,4,17,False
6556,4,1,-1,-1,1,5,-1,2,2,2,2,11,2008,1,-1,1,2,2,2,2,1,2,1,-1,1,1,3,3,3,4,11,1,2,1,7,False
2822,10,4,1,2,1,3,-1,2,2,2,2,1,2003,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,3,41,3,1,4,12,False
10024,7,2,-1,-1,1,1,-1,2,2,2,2,7,2006,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,1,33,1,2,1,9,False
9275,6,4,1,2,1,1,-1,2,2,2,2,6,2007,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,3,1,4,8,False
4218,5,1,-1,-1,1,1,-1,2,2,2,2,2,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,1,31,1,2,1,7,False
