,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.013422818791946308,0.14442013129102843,1.0586938858032227,0.7255473136901855,67.15589833259583,0.0037283897399902344,0.017227888107299805,5.767237663269043,2,True,14
1,NeuralNetFastAI_BAG_L1,0.012121212121212121,0.1296551724137931,0.5901951789855957,0.22663378715515137,43.23397874832153,0.5901951789855957,0.22663378715515137,43.23397874832153,1,True,10
2,CatBoost_BAG_L1,0.0,0.00684931506849315,0.013829469680786133,0.020963191986083984,3.6385562419891357,0.013829469680786133,0.020963191986083984,3.6385562419891357,1,True,7
3,LightGBM_BAG_L1,0.0,0.00684931506849315,0.023299217224121094,0.02071213722229004,7.474191427230835,0.023299217224121094,0.02071213722229004,7.474191427230835,1,True,4
4,LightGBMLarge_BAG_L1,0.0,0.00684931506849315,0.027199745178222656,0.0198209285736084,9.827541828155518,0.027199745178222656,0.0198209285736084,9.827541828155518,1,True,13
5,LightGBMXT_BAG_L1,0.0,0.02027027027027027,0.04562497138977051,0.023487091064453125,9.842133283615112,0.04562497138977051,0.023487091064453125,9.842133283615112,1,True,3
6,XGBoost_BAG_L1,0.0,0.03257328990228013,0.17886757850646973,0.03300023078918457,3.6136388778686523,0.17886757850646973,0.03300023078918457,3.6136388778686523,1,True,11
7,RandomForestEntr_BAG_L1,0.0,0.0,0.22644829750061035,0.4042351245880127,1.0603535175323486,0.22644829750061035,0.4042351245880127,1.0603535175323486,1,True,6
8,RandomForestGini_BAG_L1,0.0,0.0,0.22716975212097168,0.41873764991760254,1.0816230773925781,0.22716975212097168,0.41873764991760254,1.0816230773925781,1,True,5
9,ExtraTreesEntr_BAG_L1,0.0,0.0,0.24135589599609375,0.4160447120666504,0.9570839405059814,0.24135589599609375,0.4160447120666504,0.9570839405059814,1,True,9
10,ExtraTreesGini_BAG_L1,0.0,0.0,0.24494147300720215,0.4215555191040039,0.9544634819030762,0.24494147300720215,0.4215555191040039,0.9544634819030762,1,True,8
11,KNeighborsDist_BAG_L1,0.0,0.0,0.7979748249053955,1.6751697063446045,0.00784921646118164,0.7979748249053955,1.6751697063446045,0.00784921646118164,1,True,2
12,KNeighborsUnif_BAG_L1,0.0,0.0,0.8214538097381592,1.5698802471160889,0.007688283920288086,0.8214538097381592,1.5698802471160889,0.007688283920288086,1,True,1
13,NeuralNetMXNet_BAG_L1,0.0,0.07936507936507936,0.8950634002685547,0.39284658432006836,80.58715176582336,0.8950634002685547,0.39284658432006836,80.58715176582336,1,True,12
